Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
Senate,27,Senate District 27,"LAMMON, DANIELLE",Active,Republican,DANIELLE FOR SD 27,No,Active,0.0000,10425.0000,4798.8900,10000.0000,0.0000,15626.1100,0.0000,94.6800
Senate,27,Senate District 27,"SULLIVAN, TOM",Active,Democratic,SULLIVAN FOR COLORADO,No,Active,36879.4300,29323.9700,57235.9200,0.0000,0.0000,8967.4800,0.0000,200.0000
Senate,29,Senate District 29,"JODEH, IMAN",Active,Democratic,IMAN FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,30,Senate District 30,"CARSON, JOHN",Active,Republican,CARSON FOR STATE SENATE,No,Active,0.0000,43812.1600,3635.6600,20000.0000,0.0000,60176.5000,528.3000,156.0000
Senate,30,Senate District 30,"LEUNG, KEVIN",Active,Democratic,KEVIN FOR DOUGCO,No,Active,0.0000,16647.0000,259.4800,0.0000,0.0000,16387.5200,1007.3400,0.0000
Senate,31,Senate District 31,"BALL, MATT",Active,Democratic,MATT BALL FOR COLORADO,No,Active,0.0000,61252.9900,26549.1300,0.0000,0.0000,34703.8600,0.0000,0.0000
Senate,32,Senate District 32,"SIROTA, EMILY",Active,Democratic,EMILY SIROTA FOR COLORADO,No,Active,0.0000,96072.2500,4165.5000,0.0000,0.0000,91906.7500,848.4000,0.0000
Senate,34,Senate District 34,"CARRERA, ANDRÉS",Active,Democratic,CARRERA FOR COLORADO,No,Active,0.0000,80232.6000,18004.9500,0.0000,0.0000,62227.6500,0.0000,0.0000
Senate,34,Senate District 34,"GARCIA IRLANDO, GRACIELA",Active,Democratic,CHELA FOR COLORADO,No,Active,0.0000,29329.0000,8872.3400,0.0000,0.0000,20456.6600,277.8600,0.0000
Senate,34,Senate District 34,"GUZMAN, MICHAEL A.",Active,Democratic,MICHAEL GUZMAN FOR COLORADO,No,Active,0.0000,4864.1600,3156.9000,0.0000,0.0000,1707.2600,2816.7900,0.0000
Senate,34,Senate District 34,"MILLER, OLIVIA",Terminated,Democratic,OLIVIA FOR STATE SENATE 34,No,Terminated,0.0000,6107.1500,6107.1500,0.0000,0.0000,0.0000,946.0000,847.0000
Senate,35,Senate District 35,"NELSON, TRAVIS STAR",Active,Unaffiliated,TRAVIS FOR COLORADO,No,Active,0.0000,3055.0000,2714.3900,0.0000,0.0000,340.6100,64.4000,0.0000
